한국스팩10호|2022.01.25|2000~2000|2000|9000||-|한국투자증권
바이오에프디엔씨|2022.01.24|23000~29000|28000|29900|74.01:1|11.80%|DB금융투자
인카금융서비스|2022.01.24|23000~27000|18000|20235|13.69:1|4.19%|한국투자증권
나래나노텍|2022.01.17|17500~20500|17500|54250|102:1|0.97%|미래에셋증권
아셈스|2022.01.17|7000~8000|8000|14000|1618.26:1|7.71%|한국투자증권
스코넥엔터테인먼트|2022.01.13|9000~12000|13000|20036|1724.66:1|59.95%|신영증권
이지트로닉스|2022.01.13|19000~22000|22000|37620|1343.51:1|2.94%|NH투자증권
LG에너지솔루션|2022.01.11|257000~300000|300000|10922500|2023.37:1|77.38%|KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자
애드바이오텍|2022.01.06|7000~8000|7000|9520|102.15:1|-|대신증권
디비금융스팩10호|2022.01.06|2000~2000|2000|10000||-|DB금융투자
케이옥션|2022.01.06|17000~20000|20000|27200|1638.36:1|36.80%|신영증권
오토앤|2022.01.05|4200~4800|5300|12085|1713:1|8.34%|미래에셋증권,현대차증권
래몽래인|2021.12.15|11500~13000|15000|13800|1545.68:1|17.75%|IBK투자증권
하나금융스팩20호|2021.12.13|2000~2000|2000|6000||-|하나금융투자
NH스팩22호|2021.12.13|2000~2000|2000|12000||-|NH투자증권
하이스팩7호|2021.12.06|2000~2000|2000|10000||-|하이투자증권
교보스팩11호|2021.12.06|2000~2000|2000|8400||-|교보증권
케이티비네트워크|2021.11.29|5800~7200|5800|116000|50.19:1|6.94%|한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권
툴젠|2021.11.25|100000~120000|70000|100000|29.54:1|0.10%|한국투자증권
대신밸런스스팩11호|2021.11.17|2000~2000|2000|13000||-|대신증권
신한서부티엔디리츠|2021.11.17|5000~5000|5000|134889|564.84:1|15.28%|한국투자증권,신한금융투자,하나금융투자
미래에셋글로벌리츠|2021.11.15|5000~5000|5000|75100|1019.58:1|17.34%|미래에셋증권,KB증권,NH투자증권
마인즈랩|2021.11.08|26000~30000|30000|15715|197.55:1|19.74%|NH투자증권,하나금융투자
알비더블유|2021.11.05|18700~21400|21400|23431|1719.61:1|15.98%|미래에셋증권
바이옵트로|2021.11.03|7500~8500|7500|7500|205.12:1|0.98%|한국투자증권
트윔|2021.11.02|17800~20400|22000|21716|1627.34:1:|9.20%|대신증권
지오엘리먼트|2021.10.28|7600~8700|10000|11757|1613.84:1|15.23%|NH투자증권
NH올원리츠|2021.10.28|5000~5000|5000|140500|628.2:1|17.07%|한국투자증권,NH투자증권,대신증권
비트나인|2021.10.25|8700~9700|11000|18017|1662.29:1|5.96%|하나금융투자
디어유|2021.10.25|18000~24000|26000|59400|2001.11:1|37.46%|한국투자증권
아이티아이즈|2021.10.25|12500~14300|14300|22212|1601.14:1|9.11%|신한금융투자
지니너스|2021.10.21|24700~32200|20000|49400|66.03:1|0.10%|대신증권,NH투자증권
카카오페이|2021.10.20|60000~90000|90000|1020000|1714.47:1|70.44%|삼성증권,대신증권,한국투자증권,신한금융투자
피코그램|2021.10.19|11000~12500|12500|11000|1472.19:1|12.96%|IBK투자증권
