유일로보틱스|2022.02.24~02.25|7600~9200|-|16340|한국투자증권
보로노이|2022.02.24~02.25|50000~65000|-|100000|한국투자증권,미래에셋증권
대명에너지|2022.02.23~02.24|25000~29000|-|112500|한국투자증권,삼성증권
지투파워|2022.02.22~02.23|13500~16400|-|11947|한국투자증권,KB증권
모아데이타|2022.02.21~02.22|24000~28000|-|-|하나금융투자
SK증권스팩7호|2022.02.16~02.17|2000~2000|-|6000|SK증권
비씨엔씨|2022.02.16~02.17|9000~11500|-|22500|NH투자증권
노을|2022.02.15~02.16|13000~17000|-|19500|한국투자증권㈜한국투자증권,삼성증권
브이씨|2022.02.10~02.11|15000~19500|-|15000|한국투자증권
풍원정밀|2022.02.10~02.11|13200~15200|-|39600|대신증권
스톤브릿지벤처스|2022.02.09~02.10|9000~10500|-|40500|KB증권,삼성증권
하나금융스팩21호|2022.02.09~02.10|2000~2000|-|12000|하나금융투자
퓨런티어|2022.02.07~02.08|11400~13700|-|18240|유안타증권,신한금융투자
IBKS스팩17호|2022.02.03~02.04|2000~2000|-|5000|IBK투자증권
한국스팩10호|2022.01.25~01.26|2000~2000|2000|9000|한국투자증권
바이오에프디엔씨|2022.01.24~01.25|23000~29000|28000|29900|DB금융투자
인카금융서비스|2022.01.24~01.25|23000~27000|18000|20235|한국투자증권
나래나노텍|2022.01.17~01.18|17500~20500|17500|54250|미래에셋증권
아셈스|2022.01.17~01.18|7000~8000|8000|14000|한국투자증권
스코넥엔터테인먼트|2022.01.13~01.14|9000~12000|13000|20036|신영증권
이지트로닉스|2022.01.13~01.14|19000~22000|22000|37620|NH투자증권
LG에너지솔루션|2022.01.11~01.12|257000~300000|300000|10922500|KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자
애드바이오텍|2022.01.06~01.07|7000~8000|7000|9520|대신증권
디비금융스팩10호|2022.01.06~01.07|2000~2000|2000|10000|DB금융투자
케이옥션|2022.01.06~01.07|17000~20000|20000|27200|신영증권
오토앤|2022.01.05~01.06|4200~4800|5300|12085|미래에셋증권,현대차증권
래몽래인|2021.12.15~12.16|11500~13000|15000|13800|IBK투자증권
하나금융스팩20호|2021.12.13~12.14|2000~2000|2000|6000|하나금융투자
NH스팩22호|2021.12.13~12.14|2000~2000|2000|12000|NH투자증권
하이스팩7호|2021.12.06~12.07|2000~2000|2000|10000|하이투자증권
교보스팩11호|2021.12.06~12.07|2000~2000|2000|8400|교보증권
케이티비네트워크|2021.11.29~11.30|5800~7200|5800|116000|한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권
툴젠|2021.11.25~11.26|100000~120000|70000|100000|한국투자증권
대신밸런스스팩11호|2021.11.17~11.18|2000~2000|2000|13000|대신증권
신한서부티엔디리츠|2021.11.17~11.18|5000~5000|5000|134889|한국투자증권,신한금융투자,하나금융투자
미래에셋글로벌리츠|2021.11.15~11.17|5000~5000|5000|75100|미래에셋증권,KB증권,NH투자증권
마인즈랩|2021.11.08~11.09|26000~30000|30000|15715|NH투자증권,하나금융투자
알비더블유|2021.11.05~11.08|18700~21400|21400|23431|미래에셋증권
바이옵트로|2021.11.03~11.04|7500~8500|7500|7500|한국투자증권
트윔|2021.11.02~11.03|17800~20400|22000|21716|대신증권
지오엘리먼트|2021.10.28~10.29|7600~8700|10000|11757|NH투자증권
NH올원리츠|2021.10.28~10.29|5000~5000|5000|140500|한국투자증권,NH투자증권,대신증권
비트나인|2021.10.25~10.26|8700~9700|11000|18017|하나금융투자
디어유|2021.10.25~10.26|18000~24000|26000|59400|한국투자증권
아이티아이즈|2021.10.25~10.26|12500~14300|14300|22212|신한금융투자
지니너스|2021.10.21~10.22|24700~32200|20000|49400|대신증권,NH투자증권
카카오페이|2021.10.20~10.21|60000~90000|90000|1020000|삼성증권,대신증권,한국투자증권,신한금융투자
피코그램|2021.10.19~10.20|11000~12500|12500|11000|IBK투자증권
엔켐|2021.10.15~10.18|30000~35000|42000|67878|대신증권,신한금융투자
리파인|2021.10.14~10.15|21000~24000|21000|90930|KB증권
지앤비에스엔지니어링|2021.10.14~10.15|14300~17400|17400|20377|삼성증권
아이패밀리에스씨|2021.10.12~10.13|39000~48000|25000|38142|삼성증권
차백신연구소|2021.10.05~10.06|11000~15000|11000|43450|삼성증권
지아이텍|2021.10.05~10.06|11500~13100|14000|31050|미래에셋증권
NH스팩21호|2021.09.28~09.29|2000~2000|2000|12500|NH투자증권
씨유테크|2021.09.23~09.24|5100~5600|6000|26775|대신증권
아스플로|2021.09.16~09.17|19000~22000|25000|11970|미래에셋증권
원준|2021.09.15~09.16|52000~60000|65000|52249|NH투자증권
하나금융스팩19호|2021.09.15~09.16|2000~2000|2000|11000|하나금융투자
NH스팩20호|2021.09.14~09.15|2000~2000|2000|40000|NH투자증권
케이카|2021.09.13~09.28|34300~43200|25000|577278|NH투자증권,대신증권,삼성증권,하나금융투자
실리콘투|2021.09.09~09.10|23800~27200|27200|39365|삼성증권,미래에셋증권
프롬바이오|2021.09.09~09.10|21500~24500|18000|64500|NH투자증권
신한스팩8호|2021.09.08~09.09|2000~2000|2000|12500|신한금융투자
바이오플러스|2021.09.08~09.09|28500~31500|31500|39900|키움증권
에스앤디|2021.09.07~09.08|30000~32000|28000|30690|유진투자증권
현대중공업|2021.09.02~09.03|52000~60000|60000|936000|미래에셋,한국투자,하나금융,KB증권,삼성증권,대신증권,DB금융,신영증권
유진스팩7호|2021.08.26~08.27|2000~2000|2000|8000|유진증권
와이엠텍|2021.08.25~08.26|21000~25000|28000|12600|KB증권
에이비온|2021.08.24~08.25|14500~17000|17000|33060|미래에셋증권,한화투자증권,유진투자증권
SK리츠|2021.08.23~08.24|5000~5000|5000|232551|한국투자증권,삼성증권,SK증권,하나금융투자
일진하이솔루스|2021.08.19~08.20|25700~34300|34300|279975|미래에셋증권,삼성증권,현대차증권,대신증권
IBKS스팩16호|2021.08.19~08.20|2000~2000|2000|100|IBK투자증권
바이젠셀|2021.08.06~08.09|42800~52700|52700|80741|대신증권,KB증권
브레인즈컴퍼니|2021.08.03~08.04|20000~22500|25000|12000|키움증권
롯데렌탈|2021.08.03~08.04|47000~59000|59000|677834|NH투자증권,한국투자증권,KB증권,미래에셋증권,삼성증권,신한금융,키움증권,하나금융
딥노이드|2021.08.02~08.03|31500~42000|42000|9450|KB증권
아주스틸|2021.08.02~08.03|12700~15100|15100|88106|미래에셋증권
플래티어|2021.07.30~08.02|8500~10000|11000|15300|KB증권,하나금융투자
엠로|2021.07.29~07.30|20100~22600|22600|20423|한국투자증권
한컴라이프케어|2021.07.29~07.30|10700~13700|13700|88834|미래에셋증권
원티드랩|2021.07.26~07.27|28000~35000|35000|20440|한국투자증권
디앤디플랫폼리츠|2021.07.26~07.28|5000~5000|5000|175000|NH투자증권,신한금융투자,대신증권
에이치케이이노엔|2021.07.22~07.26|50000~59000|59000|505850|한국투자증권,삼성증권
한화플러스스팩2호|2021.07.21~07.22|2000~2000|2000|7500|한화투자증권
