대명에너지|2022/03/16|-|%|-|-%|-|%|예정
지투파워|2022/03/14|-|%|-|-%|-|%|예정
브이씨|2022/02/24|-|%|-|-%|-|%|예정
바이오에프디엔씨|2022/02/21|-|%|28000|-%|-|%|예정
한국스팩10호|2022/02/21|-|%|2000|-%|-|%|예정
인카금융서비스|2022/02/16|-|%|18000|-%|-|%|예정
나래나노텍|2022/02/08|-|%|17500|-%|-|%|예정
아셈스|2022/02/07|-|%|8000|-%|-|%|예정
스코넥엔터테인먼트|2022/02/04|34000|0.00%|13000|161.54%|-|%|예정
이지트로닉스|2022/02/04|40000|0.00%|22000|81.82%|-|%|예정
LG에너지솔루션|2022/01/27|450000|-10.89%|300000|50%|597000|99%|505000
애드바이오텍|2022/01/24|5190|-0.38%|7000|-25.86%|6730|-3.86%|5950
케이옥션|2022/01/24|33350|-13.60%|20000|66.75%|40000|100%|52000
오토앤|2022/01/20|16850|-16.58%|5300|217.92%|8800|66.04%|11400
디비금융스팩10호|2022/01/20|2110|0.48%|2000|5.5%|2075|3.75%|2115
래몽래인|2021/12/30|15150|2.71%|15000|1%|26000|73.33%|24000
하나금융스팩20호|2021/12/27|2620|-2.60%|2000|31%|2130|6.5%|2135
NH스팩22호|2021/12/24|2110|0.72%|2000|5.5%|2090|4.5%|2085
하이스팩7호|2021/12/20|2100|0.00%|2000|5%|2060|3%|2085
교보스팩11호|2021/12/20|2125|0.00%|2000|6.25%|2065|3.25%|2095
케이티비네트워크|2021/12/16|4190|-0.24%|5800|-27.76%|6030|3.97%|5350
신한서부티엔디리츠|2021/12/10|4740|0.74%|5000|-5.2%|4805|-3.9%|4915
툴젠|2021/12/10|64100|-0.93%|70000|-8.43%|82300|17.57%|91100
미래에셋글로벌리츠|2021/12/03|5490|1.29%|5000|9.8%|5310|6.2%|5230
대신밸런스스팩11호|2021/12/02|2095|0.00%|2000|4.75%|2060|3%|2070
마인즈랩|2021/11/23|24550|1.03%|30000|-18.17%|29650|-1.17%|38000
알비더블유|2021/11/22|20400|2.77%|21400|-4.67%|42800|100%|38950
바이옵트로|2021/11/18|10100|5.21%|7500|34.67%|7300|-2.67%|6290
NH올원리츠|2021/11/18|5060|0.40%|5000|1.2%|5490|9.8%|5370
트윔|2021/11/17|21800|1.87%|22000|-0.91%|44000|100%|41100
지오엘리먼트|2021/11/11|24400|5.86%|10000|144%|20000|100%|15900
아이티아이즈|2021/11/11|17250|4.55%|14300|20.63%|28600|100%|20050
비트나인|2021/11/10|14600|5.04%|11000|32.73%|15250|38.64%|11400
디어유|2021/11/10|49750|-1.68%|26000|91.35%|52000|100%|66500
지니너스|2021/11/08|10700|0.47%|20000|-46.5%|18000|-10%|13400
카카오페이|2021/11/03|126000|-1.56%|90000|40%|180000|100%|193000
피코그램|2021/11/03|16300|3.16%|12500|30.4%|25000|100%|18600
엔켐|2021/11/01|95400|1.71%|42000|127.14%|81600|94.29%|80000
리파인|2021/10/29|12100|0.83%|21000|-42.38%|18900|-10%|14300
지앤비에스엔지니어링|2021/10/29|20450|-1.68%|17400|17.53%|24000|37.93%|19200
아이패밀리에스씨|2021/10/28|17000|1.19%|25000|-32%|28650|14.6%|25400
차백신연구소|2021/10/22|8440|2.68%|11000|-23.27%|11700|6.36%|13000
