유일로보틱스|2022.03.07~03.08|-|7600~9200||한국투자증권
보로노이|2022.03.07~03.08|-|50000~65000||한국투자증권,미래에셋증권
대명에너지|2022.03.03~03.04|-|25000~29000||한국투자증권,삼성증권
지투파워|2022.03.02~03.03|-|13500~16400||한국투자증권,KB증권
모아데이타|2022.02.25~02.28|-|24000~28000||하나금융투자
SK증권스팩7호|2022.02.22~02.23|-|2000~2000||SK증권
노을|2022.02.21~02.22|-|13000~17000||한국투자증권㈜한국투자증권,삼성증권
비씨엔씨|2022.02.21~02.22|-|9000~11500||NH투자증권
풍원정밀|2022.02.17~02.18|-|13200~15200||대신증권
브이씨|2022.02.15~02.16|-|15000~19500||한국투자증권
스톤브릿지벤처스|2022.02.15~02.16|-|9000~10500||KB증권,삼성증권
하나금융스팩21호|2022.02.15~02.16|-|2000~2000||하나금융투자
퓨런티어|2022.02.14~02.15|-|11400~13700||유안타증권,신한금융투자
한국스팩10호|2022.02.10~02.11|2000|2000~2000||한국투자증권
바이오에프디엔씨|2022.02.09~02.10|28000|23000~29000||DB금융투자
IBKS스팩17호|2022.02.08~02.09|-|2000~2000||IBK투자증권
인카금융서비스|2022.02.07~02.08|18000|23000~27000||한국투자증권
나래나노텍|2022.01.24~01.25|17500|17500~20500|24.36:1|미래에셋증권
아셈스|2022.01.24~01.25|8000|7000~8000|2435.07:1|한국투자증권
스코넥엔터테인먼트|2022.01.20~01.21|13000|9000~12000|1751.25:1|신영증권
이지트로닉스|2022.01.20~01.21|22000|19000~22000|887.40:1|NH투자증권
LG에너지솔루션|2022.01.18~01.19|300000|257000~300000|69.34:1|KB증권,대신증권,신한금융,미래에셋증권,신영증권,하나금융,하이투자
애드바이오텍|2022.01.13~01.14|7000|7000~8000|27.20:1|대신증권
케이옥션|2022.01.12~01.13|20000|17000~20000|1408.33:1|신영증권
오토앤|2022.01.11~01.12|5300|4200~4800|2395.63:1|미래에셋증권,현대차증권
디비금융스팩10호|2022.01.10~01.11|2000|2000~2000|234.95:1|DB금융투자
래몽래인|2021.12.20~12.21|15000|11500~13000|2054.63:1|IBK투자증권
하나금융스팩20호|2021.12.16~12.17|2000|2000~2000|339.28:1|하나금융투자
NH스팩22호|2021.12.16~12.17|2000|2000~2000|362.29:1|NH투자증권
하이스팩7호|2021.12.09~12.10|2000|2000~2000|93.32:1|하이투자증권
교보스팩11호|2021.12.09~12.10|2000|2000~2000|107:1|교보증권
케이티비네트워크|2021.12.06~12.07|5800|5800~7200|327.26:1|한국투자증권,NH투자증권,삼성증권,유진투자증권,하이투자증권,KB증권
툴젠|2021.12.02~12.03|70000|100000~120000|164.13:1|한국투자증권
신한서부티엔디리츠|2021.11.24~11.26|5000|5000~5000|151.98:1|한국투자증권,신한금융투자,하나금융투자
대신밸런스스팩11호|2021.11.22~11.23|2000|2000~2000|150.83:1|대신증권
미래에셋글로벌리츠|2021.11.22~11.24|5000|5000~5000|753.4:1|미래에셋증권,KB증권,NH투자증권
알비더블유|2021.11.11~11.12|21400|18700~21400|3706.79:1|미래에셋증권
마인즈랩|2021.11.11~11.12|30000|26000~30000|89.9:1|NH투자증권,하나금융투자
바이옵트로|2021.11.09~11.10|7500|7500~8500|68.11:1|한국투자증권
트윔|2021.11.08~11.09|22000|17800~20400|2266.84:1|대신증권
NH올원리츠|2021.11.03~11.05|5000|5000~5000|453.48:1|한국투자증권,NH투자증권,대신증권
지오엘리먼트|2021.11.02~11.03|10000|7600~8700|1537.44:1|NH투자증권
비트나인|2021.11.01~11.02|11000|8700~9700|589.64:1|하나금융투자
디어유|2021.11.01~11.02|26000|18000~24000|1598.15:1|한국투자증권
아이티아이즈|2021.11.01~11.02|14300|12500~14300|633.61:1|신한금융투자
지니너스|2021.10.27~10.28|20000|24700~32200|162.5:1|대신증권,NH투자증권
카카오페이|2021.10.25~10.26|90000|60000~90000|29.6:1|삼성증권,대신증권,한국투자증권,신한금융투자
