크레듀|24000|한국투자증권|2006.11.01~-|2006.11.01|null|2006.11.01|22500~25500|22500~25500|22500~25500|31200|31200||99.97%|2006.11.06~11.08|2006.11.06|2006.11.08|710.8:1|true|true|true|true|2006/11/16|-|%|%|48000|100%|55200
에이디피엔지니어링|10500|우리증권|2005.01.13~-|2005.01.13|null|2005.01.13|10000~10500|10000~10500|10000~10500|13221|13221||-|2005.01.24~01.26|2005.01.24|2005.01.26|550:1|true|true|true|false|null|null|null|null|null|null|null
엔에이치프라임리츠|5000|NH투자증권,키움증권,하나금융투자,한국투자증권|2019.11.13~11.14|2019.11.13|2019.11.14|2019.11.13|5000~5000|5000~5000|5000~5000|68800|68800|711.65:1|43.20%|2019.11.18~11.20|2019.11.18|2019.11.20|317.62:1|true|true|true|true|2019/12/05|4590|0.55%|-8.2%|5000|0%|6500
더네이쳐홀딩스|46000|한국투자증권|2020.07.08~07.09|2020.07.08|2020.07.09|2020.07.08|45000~50000|45000~50000|45000~50000|54000|54000|97.21:1|8.46%|2020.07.15~07.16|2020.07.15|2020.07.16|151.9:1|true|true|true|true|2020/07/27|27550|0.92%|-40.11%|41400|-10%|43000
딜리|8000|현대증권|2011.01.12~01.13|2011.01.12|2011.01.13|2011.01.12|7000~8000|7000~8000|7000~8000|10290|10290||-|2011.01.19~01.20|2011.01.19|2011.01.20|237.85|true|true|true|true|2011/01/31|-|%|%|7600|-5%|8740
유안타스팩2호|2000|유안타증권|2015.07.01~07.02|2015.07.01|2015.07.02|2015.07.01|2000~2000|2000~2000|2000~2000|12000|12000||-|2015.07.06~07.07|2015.07.06|2015.07.07|132.03:1|true|true|true|true|2015/07/17|-|%|%|2125|6.25%|2140
동양파일|10000|대신증권|2016.03.23~03.24|2016.03.23|2016.03.24|2016.03.23|10000~11600|10000~11600|10000~11600|80000|80000|12.56:1|-|2016.03.28~03.29|2016.03.28|2016.03.29|2.03:1|true|true|true|true|2016/04/06|-|%|%|9000|-10%|9100
태웅로직스|4500|아이비케이투자증권,BNK투자증권|2019.11.21~11.22|2019.11.21|2019.11.22|2019.11.21|3700~4500|3700~4500|3700~4500|18500|18500|1024.98:1|2.53%|2019.11.26~11.27|2019.11.26|2019.11.27|618.52:1|true|true|true|true|2019/12/10|7690|5.78%|70.89%|8170|81.56%|6110
엔에스브이|4300|대우증권|2009.03.31~04.01|2009.03.31|2009.04.01|2009.03.31|3600~4300|3600~4300|3600~4300|10900|10900||-|2009.04.07~04.08|2009.04.07|2009.04.08|561.15:1|true|true|true|true|2009/04/17|-|%|%|8600|100%|9890
모다정보통신|7000|키움증권|2012.09.10~09.11|2012.09.10|2012.09.11|2012.09.10|7000~8500|7000~8500|7000~8500|4900|4900||-|2012.09.13~09.14|2012.09.13|2012.09.14|499.89:1|true|true|true|true|2012/09/25|-|%|%|8900|27.14%|7570
제이티|2700|한화증권|2006.10.10~-|2006.10.10|null|2006.10.10|2700~3700|2700~3700|2700~3700|3078|3078||81.40%|2006.10.17~10.19|2006.10.17|2006.10.19|621.81:1|true|true|true|true|2006/10/27|-|%|%|4000|48.15%|3400
제테마|21000|한국투자증권,DB금융투자|2019.10.30~10.31|2019.10.30|2019.10.31|2019.10.30|36000~48000|36000~48000|36000~48000|20160|20160|12.41:1|-|2019.11.06~11.07|2019.11.06|2019.11.07|590.02:1|true|true|true|true|2019/11/14|17800|2.89%|-15.24%|20100|-4.29%|22450
앤디포스|14500|미래에셋대우|2016.09.26~09.27|2016.09.26|2016.09.27|2016.09.26|13000~14500|13000~14500|13000~14500|54600|54600|406.09:1|10.60%|2016.10.04~10.05|2016.10.04|2016.10.05|524.2:1|true|true|true|true|2016/10/12|-|%|%|17500|20.69%|18800
카페24|57000|미래에셋대우,유안타증권,한화투자증권|2018.01.23~01.24|2018.01.23|2018.01.24|2018.01.23|43000~57000|43000~57000|43000~57000|38700|38700|672.71:1|42.90%|2018.01.30~01.31|2018.01.30|2018.01.31|731.58:1|true|true|true|true|2018/02/08|21000|5.00%|-63.16%|84500|48.25%|84700
케이비스팩8호|2000|케이비투자증권|2015.07.21~07.22|2015.07.21|2015.07.22|2015.07.21|2000~2000|2000~2000|2000~2000|20000|20000||-|2015.07.27~07.28|2015.07.27|2015.07.28|221.90:1|true|true|true|true|2015/08/05|-|%|%|2370|18.5%|2345
엠지메드|40000|신한금융투자|2015.11.05~11.06|2015.11.05|2015.11.06|2015.11.05|33000~40000|33000~40000|33000~40000|11550|11550|715.39:1|14.86%|2015.11.11~11.12|2015.11.11|2015.11.12|1350.05:1|true|true|true|true|2015/11/20|-|%|%|41000|2.5%|36300
제우스|13500|교보증권|2006.01.12~-|2006.01.12|null|2006.01.12|13000~18000|13000~18000|13000~18000|38340|38340||-|2006.01.18~01.20|2006.01.18|2006.01.20|291.13:1|true|true|true|false|null|null|null|null|null|null|null
씨큐브|5750|대신증권|2011.10.19~10.20|2011.10.19|2011.10.20|2011.10.19|4200~5000|4200~5000|4200~5000|4025|4025||-|2011.10.27~10.28|2011.10.27|2011.10.28|791.35:1|true|true|true|true|2011/11/08|-|%|%|7000|21.74%|6140
롯데리츠|5000|한국투자증권,KB증권,삼성증권,하나금융투자|2019.09.23~10.02|2019.09.23|2019.10.02|2019.09.23|4750~5000|4750~5000|4750~5000|408426|408426|358.06:1|44.07%|2019.10.08~10.11|2019.10.08|2019.10.11|63.28:1|true|true|true|true|2019/10/30|5180|0.78%|3.6%|5000|0%|6500
