drewAt,drewBonusNumber,drewNumber1,drewNumber2,drewNumber3,drewNumber4,drewNumber5,drewNumber6,drewRoundNumber,firstPrizeWinnerNumber,firstWinnerAmount,totalSellAmount
2002-12-07,16,10,23,29,33,37,40,1,0,0,3681782000
2002-12-14,2,9,13,21,25,32,42,2,1,2002006800,4904274000
2002-12-21,30,11,16,19,21,27,31,3,1,2000000000,4729342000
2002-12-28,2,14,27,30,31,40,42,4,0,0,5271464000
2003-01-04,3,16,24,29,40,41,42,5,0,0,6277102000
2003-01-11,34,14,15,26,27,40,42,6,1,6574451700,15305356000
2003-01-18,42,2,9,16,25,26,40,7,0,0,12794890000
2003-01-25,9,8,19,25,34,37,39,8,0,0,20751450000
2003-02-01,14,2,4,16,17,36,39,9,0,0,73624020000
2003-02-08,6,9,25,30,33,41,44,10,13,6430437900,260856392000
2003-02-15,14,1,7,36,37,41,42,11,5,4780152300,91925306000
2003-02-22,44,2,11,21,25,39,45,12,12,1348845700,76255508000
2003-03-01,26,22,23,25,37,38,42,13,0,0,66532136000
2003-03-08,15,2,6,12,31,33,40,14,4,9375048300,99838648000
2003-03-15,13,3,4,16,30,31,37,15,1,17014245000,73264910000
2003-03-22,33,6,7,24,37,38,40,16,4,4377146100,75777348000
2003-03-29,1,3,4,9,17,32,37,17,3,5349491200,72718152000
2003-04-05,29,3,12,13,19,32,35,18,0,0,66371660000
2003-04-12,26,6,30,38,39,40,43,19,1,40722959400,105957818000
2003-04-19,41,10,14,18,20,23,30,20,1,19352212800,81056776000
2003-04-26,21,6,12,17,18,31,32,21,23,797475400,84247142000
2003-05-03,25,4,5,6,8,17,39,22,4,4552194900,79455152000
2003-05-10,44,5,13,17,18,33,42,23,4,4317947700,77374256000
2003-05-17,6,7,8,27,29,36,43,24,0,0,78486634000
2003-05-24,16,2,4,21,26,43,44,25,2,24227745300,120073768000
2003-05-31,31,4,5,7,18,20,25,26,5,3495069900,80193026000
2003-06-07,27,1,20,26,28,37,43,27,2,9543982500,76145050000
2003-06-14,1,9,18,23,25,35,37,28,10,1700361100,75448366000
2003-06-21,11,1,5,13,34,39,40,29,5,3552594000,74523120000
2003-06-28,4,8,17,20,35,36,44,30,2,8728555500,72399690000
